Name,Latitude,Longitude
Menara Airport,31.60689926,-8.036299706
Mohammed V International Airport,33.36750031,-7.589970112
Al Massira Airport,30.322478,-9.412003
Tangier Ibn Battuta Airport,35.731741,-5.921459
Rabat-Salé Airport,34.051498,-6.75152
Fes Saïss International Airport,33.927299,-4.97796
Oujda Angads Airport,34.789558,-1.926041
Ouarzazate Airport,30.93910027,-6.909430027
Essaouira-Mogador Airport,31.397499,-9.68167
Nador Al Aaroui International Airport,34.9888,-3.02821
Cherif Al Idrissi Airport,35.17710114,-3.839519978
Moulay Ali Cherif Airport,31.94750023,-4.398330212
Casablanca Tit Mellil Airport,33.5975,-7.465
Inezgane Airport,30.381399,-9.54631
Tan Tan Airport,28.44820023,-11.16129971
Kenitra Air Base,34.298901,-6.59588
Sania Ramel Airport,35.594299,-5.32002
Beni Mellal Airport,32.401895,-6.315905
Bouarfa Airport,32.51430556,-1.983055556
Bassatine Airport,33.8791008,-5.515120029
Ben Slimane Airport,33.655399,-7.22145
Guelmim Airport,29.026699,-10.0503
Ifran Airport,33.505299,-5.1529
Sidi Slimane Airport,34.23059845,-6.050139904
Mahbes Airbase,27.726982,-9.237865
Ouezzane Airport,34.793361,-5.635986
Fes Sefrou Airport,34.008099,-4.96556
Taouima Nador Airport,35.152986,-2.918673
Taroudant Airport,30.503487,-8.821549
Taza Airport,34.231887,-3.94701
Zagora Airport,30.320299,-5.86667
Zagora Airport,30.263858,-5.853341
Lakhmiss N'Arazane Airport,30.49707,-8.63648
Anfa Airport,33.55329895,-7.661389828
El Jadida Airport,33.233299,-8.51667
Khouribga Air Base,32.85821,-6.9461
Khouribga West Airport,32.8767,-7.08445
Ben Guerir Air Base,32.124889,-7.877884
Safi Airport,32.275414,-9.234266
Sidi Ifni Airport,29.368889,-10.180278
Sidi Zouine Airport,31.63833,-8.34768
Tarfaya Airport,27.9487,-12.9166
Tata Airport,29.557381,-8.007671
Cheikh Khalifa Bin Zayed Al Nahyan Hospital Heliport,33.55178,-7.66799
Beni Amir Heliport,32.67406,-6.76116
